,full_name,gender,category,birth_year,winner_age,birth_country,award_year
0,A. Michael Spence,male,Economic Sciences,1943.0,58.0,USA,2001
1,Aage Niels Bohr,male,Physics,1922.0,53.0,Denmark,1975
2,Aaron Ciechanover,male,Chemistry,1947.0,57.0,Israel,2004
3,Aaron Klug,male,Chemistry,1926.0,56.0,Lithuania,1982
4,Abdulrazak Gurnah,male,Literature,1948.0,73.0,,2021
5,Abdus Salam,male,Physics,1926.0,53.0,Pakistan,1979
6,Abhijit Banerjee,male,Economic Sciences,1961.0,58.0,India,2019
7,Abiy Ahmed Ali,male,Peace,1976.0,43.0,Ethiopia,2019
8,Ada E. Yonath,female,Chemistry,1939.0,70.0,Israel,2009
9,Adam G. Riess,male,Physics,1969.0,42.0,USA,2011
10,Adolf Friedrich Johann Butenandt,male,Chemistry,1903.0,36.0,Germany,1939
11,Johann Friedrich Wilhelm Adolf von Baeyer,male,Chemistry,1835.0,70.0,Germany,1905
12,Adolf Otto Reinhold Windaus,male,Chemistry,1876.0,52.0,Germany,1928
13,Adolfo Pérez Esquivel,male,Peace,1931.0,49.0,Argentina,1980
14,Ahmed H. Zewail,male,Chemistry,1946.0,53.0,Egypt,1999
15,Akira Suzuki,male,Chemistry,1930.0,80.0,Japan,2010
16,Akira Yoshino,male,Chemistry,1948.0,71.0,Japan,2019
17,Albert Arnold (Al) Gore Jr.,male,Peace,1948.0,59.0,USA,2007
18,Alain Aspect,male,Physics,1947.0,75.0,France,2022
19,Alan J. Heeger,male,Chemistry,1936.0,64.0,USA,2000
20,Alan Lloyd Hodgkin,male,Physiology or Medicine,1914.0,49.0,United Kingdom,1963
21,Alan G. MacDiarmid,male,Chemistry,1927.0,73.0,New Zealand,2000
22,Albert Abraham Michelson,male,Physics,1852.0,55.0,Poland,1907
23,Albert Camus,male,Literature,1913.0,44.0,Algeria,1957
24,Albert Claude,male,Physiology or Medicine,1898.0,76.0,Belgium,1974
25,Albert Einstein,male,Physics,1879.0,42.0,Germany,1921
26,Albert Fert,male,Physics,1938.0,69.0,France,2007
27,Charles Albert Gobat,male,Peace,1843.0,59.0,Switzerland,1902
28,Albert John Lutuli,male,Peace,1898.0,62.0,Zimbabwe,1960
29,Albert Schweitzer,male,Peace,1875.0,77.0,France,1952
30,Albert von Szent-Györgyi Nagyrápolt,male,Physiology or Medicine,1893.0,44.0,Hungary,1937
31,Albrecht Kossel,male,Physiology or Medicine,1853.0,57.0,Germany,1910
32,Aleksandr Mikhailovich Prokhorov,male,Physics,1916.0,48.0,Australia,1964
33,Ales Bialiatski ,male,Peace,1962.0,60.0,Russia,2022
34,Aleksandr Isayevich Solzhenitsyn,male,Literature,1918.0,52.0,Russia,1970
35,Alexei Alexeyevich Abrikosov,male,Physics,1928.0,75.0,Russia,2003
36,Alexis Carrel,male,Physiology or Medicine,1873.0,39.0,France,1912
37,Alfonso García Robles,male,Peace,1911.0,71.0,Mexico,1982
38,Alfred D. Hershey,male,Physiology or Medicine,1908.0,61.0,USA,1969
39,Alfred Hermann Fried,male,Peace,1864.0,47.0,Austria,1911
40,Alfred G. Gilman,male,Physiology or Medicine,1941.0,53.0,USA,1994
41,Alfred Kastler,male,Physics,1902.0,64.0,France,1966
42,Alfred Werner,male,Chemistry,1866.0,47.0,France,1913
43,Alice Munro,female,Literature,1931.0,82.0,Canada,2013
44,Allan M. Cormack,male,Physiology or Medicine,1924.0,55.0,South Africa,1979
45,Allvar Gullstrand,male,Physiology or Medicine,1862.0,49.0,Sweden,1911
46,Charles Louis Alphonse Laveran,male,Physiology or Medicine,1845.0,62.0,France,1907
47,Alva Myrdal,female,Peace,1902.0,80.0,Sweden,1982
48,Alvin E. Roth,male,Economic Sciences,1951.0,61.0,USA,2012
49,Amartya Sen,male,Economic Sciences,1933.0,65.0,India,1998
52,Anatole France,male,Literature,1844.0,77.0,France,1921
53,André Frédéric Cournand,male,Physiology or Medicine,1895.0,61.0,France,1956
54,Andre Geim,male,Physics,1958.0,52.0,Russia,2010
55,André Paul Guillaume Gide,male,Literature,1869.0,78.0,France,1947
56,André Lwoff,male,Physiology or Medicine,1902.0,63.0,France,1965
57,Andrea Ghez,female,Physics,1965.0,55.0,USA,2020
58,Andrei Dmitrievich Sakharov,male,Peace,1921.0,54.0,Russia,1975
59,Andrew Fielding Huxley,male,Physiology or Medicine,1917.0,46.0,United Kingdom,1963
60,Andrew V. Schally,male,Physiology or Medicine,1926.0,51.0,Lithuania,1977
61,Andrew Z. Fire,male,Physiology or Medicine,1959.0,47.0,USA,2006
62,Angus Deaton,male,Economic Sciences,1945.0,70.0,Scotland,2015
63,Annie Ernaux,female,Literature,1940.0,82.0,France,2022
64,Anthony J. Leggett,male,Physics,1938.0,65.0,United Kingdom,2003
65,Anton Zeilinger,male,Physics,1945.0,77.0,Austria,2022
66,Antony Hewish,male,Physics,1924.0,50.0,United Kingdom,1974
67,Mohamed Anwar al-Sadat,male,Peace,1918.0,60.0,Egypt,1978
68,Archer John Porter Martin,male,Chemistry,1910.0,42.0,United Kingdom,1952
69,Archibald Vivian Hill,male,Physiology or Medicine,1886.0,36.0,United Kingdom,1922
70,Ardem Patapoutian,male,Physiology or Medicine,1967.0,54.0,Lebanon,2021
71,Arieh Warshel,male,Chemistry,1940.0,73.0,Israel,2013
72,Aristide Briand,male,Peace,1862.0,64.0,France,1926
73,Arne Wilhelm Kaurin Tiselius,male,Chemistry,1902.0,46.0,Sweden,1948
74,Arno Allan Penzias,male,Physics,1933.0,45.0,Germany,1978
75,Arthur Ashkin,male,Physics,1922.0,96.0,USA,2018
76,Arthur B. McDonald,male,Physics,1943.0,72.0,Canada,2015
77,Arthur Holly Compton,male,Physics,1892.0,35.0,USA,1927
78,Arthur Harden,male,Chemistry,1865.0,64.0,United Kingdom,1929
79,Arthur Henderson,male,Peace,1863.0,71.0,Scotland,1934
80,Arthur Kornberg,male,Physiology or Medicine,1918.0,41.0,USA,1959
81,Arthur Leonard Schawlow,male,Physics,1921.0,60.0,USA,1981
82,Artturi Ilmari Virtanen,male,Chemistry,1895.0,50.0,Finland,1945
83,Arvid Carlsson,male,Physiology or Medicine,1923.0,77.0,Sweden,2000
84,Schack August Steenberg Krogh,male,Physiology or Medicine,1874.0,46.0,Denmark,1920
85,Auguste Marie François Beernaert,male,Peace,1829.0,80.0,Belgium,1909
86,Aung San Suu Kyi,female,Peace,1945.0,46.0,Myanmar,1991
87,Avram Hershko,male,Chemistry,1937.0,67.0,Hungary,2004
88,Aziz Sancar,male,Chemistry,1946.0,69.0,Turkey,2015
89,Barack Hussein Obama,male,Peace,1961.0,48.0,USA,2009
90,Barbara McClintock,female,Physiology or Medicine,1902.0,81.0,USA,1983
91,Barry C. Barish,male,Physics,1936.0,81.0,USA,2017
92,Barry J. Marshall,male,Physiology or Medicine,1951.0,54.0,Australia,2005
93,Baruch S. Blumberg,male,Physiology or Medicine,1925.0,51.0,USA,1976
94,Baruj Benacerraf,male,Physiology or Medicine,1920.0,60.0,Venezuela,1980
