award_year,category,motivation,Name,links
2022,Chemistry,for the development of click chemistry and bioorthogonal chemistry,Carolyn R. Bertozzi,https://www.nobelprize.org/uploads/2022/10/bertozzi-2_3-464x696.jpg
2022,Chemistry,for the development of click chemistry and bioorthogonal chemistry,K. Barry Sharpless,https://www.nobelprize.org/uploads/2022/10/sharpless-2_3-464x696.jpg
2022,Chemistry,for the development of click chemistry and bioorthogonal chemistry,Morten Meldal,https://www.nobelprize.org/uploads/2022/10/meldal-2_3-464x696.jpg
2022,Economic Sciences,for research on banks and financial crises,Ben S. Bernanke,https://www.nobelprize.org/uploads/2022/10/bernanke-2_3-464x696.jpg
2022,Economic Sciences,for research on banks and financial crises,Douglas W. Diamond,https://www.nobelprize.org/uploads/2022/10/diamond-2_3-464x696.jpg
2022,Economic Sciences,for research on banks and financial crises,Philip H. Dybvig,https://www.nobelprize.org/uploads/2022/10/dybvig-2_3-464x696.jpg
2022,Literature,"for the courage and clinical acuity with which she uncovers the roots, estrangements and collective restraints of personal memory",Annie Ernaux,https://www.nobelprize.org/uploads/2022/10/ernaux-2_3-464x696.jpg
2022,Peace,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",Ales Bialiatski,https://www.nobelprize.org/uploads/2022/10/bialiatski-2_3-464x696.jpg
2022,Peace,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",Memorial,https://www.nobelprize.org/uploads/2022/10/memorial-2_3-464x696.jpg
2022,Peace,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",Center for Civil Liberties,https://www.nobelprize.org/uploads/2022/10/center-2_3-464x696.jpg
2022,Physics,"for experiments with entangled photons, establishing the violation of Bell inequalities and pioneering quantum information science",Alain Aspect,https://www.nobelprize.org/uploads/2022/10/aspect-2_3-464x696.jpg
2022,Physics,"for experiments with entangled photons, establishing the violation of Bell inequalities and pioneering quantum information science",Anton Zeilinger,https://www.nobelprize.org/uploads/2022/10/zeilinger-2_3-464x696.jpg
2022,Physics,"for experiments with entangled photons, establishing the violation of Bell inequalities and pioneering quantum information science",John F. Clauser,https://www.nobelprize.org/uploads/2022/10/clauser-2_3-464x696.jpg
2022,Physiology or Medicine,for his discoveries concerning the genomes of extinct hominins and human evolution,Svante Pääbo,https://www.nobelprize.org/uploads/2022/10/paabo-2_3-464x696.jpg
2021,Chemistry,for the development of asymmetric organocatalysis,Benjamin List,https://www.nobelprize.org/images/124848-portrait-mini-2x.jpg
2021,Chemistry,for the development of asymmetric organocatalysis,David W.C. MacMillan,https://www.nobelprize.org/images/124482-portrait-mini-2x.jpg
2021,Economic Sciences,for his empirical contributions to labour economics,David Card,https://www.nobelprize.org/images/125489-portrait-mini-2x.jpg
2021,Economic Sciences,for their methodological contributions to the analysis of causal relationships,Guido W. Imbens,https://www.nobelprize.org/images/124886-portrait-mini-2x.jpg
2021,Economic Sciences,for their methodological contributions to the analysis of causal relationships,Joshua D. Angrist,https://www.nobelprize.org/images/124476-portrait-mini-2x.jpg
2021,Literature,for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents,Abdulrazak Gurnah,https://www.nobelprize.org/images/124553-portrait-mini-2x.jpg
2021,Peace,"for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace",Dmitry Andreyevich Muratov,https://www.nobelprize.org/images/125646-portrait-mini-2x.jpg
2021,Peace,"for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace",Maria Ressa,https://www.nobelprize.org/images/125647-portrait-mini-2x.jpg
2021,Physics,for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales,Giorgio Parisi,https://www.nobelprize.org/images/125636-portrait-mini-2x.jpg
2021,Physics,"for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming",Klaus Hasselmann,https://www.nobelprize.org/images/124561-portrait-mini-2x.jpg
2021,Physics,"for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming",Syukuro Manabe,https://www.nobelprize.org/images/124472-portrait-mini-2x.jpg
2021,Physiology or Medicine,for their discoveries of receptors for temperature and touch,Ardem Patapoutian,https://www.nobelprize.org/images/124882-portrait-mini-2x.jpg
2021,Physiology or Medicine,for their discoveries of receptors for temperature and touch,David Julius,https://www.nobelprize.org/images/125635-portrait-mini-2x.jpg
2020,Chemistry,for the development of a method for genome editing,Emmanuelle Charpentier,https://www.nobelprize.org/images/charpentier-111763-portrait-mini-2x.jpg
2020,Chemistry,for the development of a method for genome editing,Jennifer A. Doudna,https://www.nobelprize.org/images/doudna-111764-portrait-mini-2x.jpg
2020,Economic Sciences,for improvements to auction theory and inventions of new auction formats,Paul R. Milgrom,https://www.nobelprize.org/images/milgrom-111768-portrait-mini-2x.jpg
